Date,BTC-USD,ETH-USD,ADA-USD,BNB-USD
2022-01-01,47686.8125,3769.697021484375,1.3769750595092773,527.3527221679688
2022-01-02,47345.21875,3829.56494140625,1.3775839805603027,531.3966674804688
2022-01-03,46458.1171875,3761.38037109375,1.3216370344161987,512.135986328125
2022-01-04,45897.57421875,3794.056640625,1.3116580247879028,507.506103515625
2022-01-05,43569.00390625,3550.386962890625,1.236001968383789,475.05694580078125
2022-01-06,43160.9296875,3418.408203125,1.2797820568084717,473.2756042480469
2022-01-07,41557.90234375,3193.21044921875,1.2115470170974731,447.7884826660156
2022-01-08,41733.94140625,3091.97265625,1.1875120401382446,430.24615478515625
2022-01-09,41911.6015625,3157.75146484375,1.17385995388031,438.8030700683594
2022-01-10,41821.26171875,3083.097900390625,1.128051996231079,424.93377685546875
2022-01-11,42735.85546875,3238.111572265625,1.1851099729537964,463.518310546875
2022-01-12,43949.1015625,3372.25830078125,1.3045350313186646,487.0074157714844
2022-01-13,42591.5703125,3248.28857421875,1.2331609725952148,475.02911376953125
2022-01-14,43099.69921875,3310.00146484375,1.2909259796142578,489.867431640625
2022-01-15,43177.3984375,3330.53076171875,1.2962629795074463,494.9880676269531
2022-01-16,43113.87890625,3350.921875,1.407251000404358,498.42791748046875
2022-01-17,42250.55078125,3212.304931640625,1.5941309928894043,475.7098693847656
2022-01-18,42375.6328125,3164.025146484375,1.4655410051345825,472.00506591796875
2022-01-19,41744.328125,3095.825927734375,1.34175705909729,462.82208251953125
2022-01-20,40680.41796875,3001.1201171875,1.2580549716949463,440.00543212890625
2022-01-21,36457.31640625,2557.931640625,1.1232329607009888,383.07391357421875
2022-01-22,35030.25,2405.18115234375,1.066715955734253,358.0961608886719
2022-01-23,36276.8046875,2535.0390625,1.122370958328247,383.9339599609375
2022-01-24,36654.328125,2440.352294921875,1.0665980577468872,371.36895751953125
2022-01-25,36954.00390625,2455.93505859375,1.0435739755630493,384.6193542480469
2022-01-26,36852.12109375,2468.0302734375,1.0790469646453857,375.7554626464844
2022-01-27,37138.234375,2423.001220703125,1.0435329675674438,390.0882873535156
2022-01-28,37784.33203125,2547.092041015625,1.0506060123443604,386.0843811035156
2022-01-29,38138.1796875,2597.084716796875,1.0595699548721313,389.1327819824219
2022-01-30,37917.6015625,2603.466552734375,1.0374729633331299,377.6129150390625
2022-01-31,38483.125,2688.27880859375,1.0523029565811157,375.2773132324219
2022-02-01,38743.2734375,2792.1171875,1.0886240005493164,385.46380615234375
2022-02-02,36952.984375,2682.85400390625,1.028905987739563,367.4716796875
2022-02-03,37154.6015625,2679.16259765625,1.0564440488815308,370.87774658203125
2022-02-04,41500.875,2983.5869140625,1.1356240510940552,399.02960205078125
2022-02-05,41441.1640625,3014.648193359375,1.1273449659347534,414.20001220703125
2022-02-06,42412.43359375,3057.47607421875,1.1445469856262207,419.5455627441406
2022-02-07,43840.28515625,3142.470703125,1.1973069906234741,433.2292785644531
2022-02-08,44118.4453125,3122.608642578125,1.1787199974060059,408.7767639160156
2022-02-09,44338.796875,3239.45703125,1.1948100328445435,422.4655456542969
2022-02-10,43565.11328125,3077.482177734375,1.1524779796600342,415.1192321777344
2022-02-11,42407.9375,2927.383544921875,1.080346941947937,400.4223937988281
2022-02-12,42244.46875,2917.36279296875,1.0581990480422974,403.3897399902344
2022-02-13,42197.515625,2883.46337890625,1.0458190441131592,398.88677978515625
2022-02-14,42586.91796875,2933.47900390625,1.050266981124878,403.6607971191406
2022-02-15,44575.203125,3179.877197265625,1.1075860261917114,432.4093933105469
2022-02-16,43961.859375,3127.830078125,1.0849809646606445,427.9181213378906
2022-02-17,40538.01171875,2881.48193359375,1.0198949575424194,402.4500427246094
2022-02-18,40030.9765625,2785.7275390625,0.9971129894256592,399.5691833496094
2022-02-19,40122.15625,2763.701171875,0.9977030158042908,400.0435791015625
2022-02-20,38431.37890625,2628.6484375,0.9329019784927368,380.825927734375
2022-02-21,37075.28125,2573.816162109375,0.8582360148429871,356.6612548828125
2022-02-22,38286.02734375,2639.29931640625,0.8890169858932495,374.3074645996094
2022-02-23,37296.5703125,2590.359619140625,0.8691689968109131,366.53948974609375
2022-02-24,38332.609375,2598.067138671875,0.8534250259399414,361.2346496582031
2022-02-25,39214.21875,2764.53564453125,0.8980270028114319,374.9149475097656
2022-02-26,39105.1484375,2781.11181640625,0.8879179954528809,373.6387634277344
2022-02-27,37709.78515625,2621.8017578125,0.858335018157959,360.5310363769531
2022-02-28,43193.234375,2919.201171875,0.9598280191421509,395.6124267578125
2022-03-01,44354.63671875,2972.485107421875,0.9623460173606873,408.4822998046875
2022-03-02,43924.1171875,2950.118408203125,0.9386619925498962,409.00030517578125
2022-03-03,42451.7890625,2834.468994140625,0.902658998966217,402.5506896972656
2022-03-04,39137.60546875,2617.156005859375,0.8428890109062195,374.2808837890625
2022-03-05,39400.5859375,2664.8310546875,0.8656719923019409,384.87335205078125
2022-03-06,38419.984375,2555.037353515625,0.8237519860267639,375.0111999511719
2022-03-07,38062.0390625,2497.771240234375,0.7973790168762207,381.3446350097656
2022-03-08,38737.26953125,2576.74755859375,0.8012499809265137,381.95855712890625
2022-03-09,41982.92578125,2729.783447265625,0.8492929935455322,393.5557556152344
2022-03-10,39437.4609375,2608.048583984375,0.8063160181045532,372.1590270996094
2022-03-11,38794.97265625,2559.56298828125,0.7901250123977661,372.1840515136719
2022-03-12,38904.01171875,2574.754150390625,0.7906739711761475,372.7303771972656
2022-03-13,37849.6640625,2518.944580078125,0.7909950017929077,361.8498229980469
