nm_municipio;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_sit_totalizacao;aa_eleicao;qt_votos_nom_validos;qt_votos_concorrentes
ABADIA DOS DOURADOS;Vereador;55555;VAGNER TOMAZ DE SOUZA;VAGNER DA ABAPEVEL;PSD;Eleito;2024;332;4934
ABADIA DOS DOURADOS;Vereador;70510;VALERIO ANTONIO DE OLIVEIRA;VALERIO DA AMBULANCIA;AVANTE;Eleito;2024;305;4934
ABADIA DOS DOURADOS;Vereador;70123;LUZIA RAQUEL BATISTA DOS SANTOS;LUZIA DO ALTO ABADIENSE;AVANTE;Eleito;2024;290;4934
ABADIA DOS DOURADOS;Vereador;44100;DANILO BATISTA PEREIRA DAMAS;DANILO PEREIRA;UNIÃO;Eleito;2024;283;4934
ABADIA DOS DOURADOS;Vereador;55025;MARIO LÚCIO MARRA;MAURO MARRA;PSD;Eleito;2024;281;4934
ABADIA DOS DOURADOS;Vereador;44544;RUY PEREIRA DAMAS;RUY PEREIRA;UNIÃO;Eleito;2024;256;4934
ABADIA DOS DOURADOS;Vereador;55123;LILIANE BERNARDES CRUVINEL;LILIANE DO NEGO;PSD;Eleito;2024;243;4934
ABADIA DOS DOURADOS;Vereador;11614;GERALDO LUIZ BATISTA;GERALDINHO;PP;Eleito;2024;211;4934
ABADIA DOS DOURADOS;Vereador;20222;TARCISIO BORGES CRUVINEL;TARCISIO;PODE;Eleito;2024;130;4934
ABAETÉ;Vereador;25111;LUIZ HENRIQUE GOMES DE SOUSA;LUIZ DA PAMONHA;PRD;Eleito;2024;851;13469
ABAETÉ;Vereador;30500;OSVALDO RIBEIRO DE ALMEIDA;VADINHO DO CAMINHÃO;NOVO;Eleito;2024;801;13469
ABAETÉ;Vereador;44111;ANTONIO CARLOS LATALIZA FRANÇA;TATAIA;UNIÃO;Eleito;2024;707;13469
ABAETÉ;Vereador;55456;MARIA DO ROSARIO PRADO;ROSINHA DO CELINHO FIO ARRUDA;PSD;Eleito;2024;654;13469
ABAETÉ;Vereador;25000;CARLOS EDUARDO LOPES PEREIRA;CARLOS DA AUTO ESCOLA;PRD;Eleito;2024;515;13469
ABAETÉ;Vereador;15000;ANDERSON GERALDO DE FREITAS;DR, ANDERSON (CANHOTO);MDB;Eleito;2024;426;13469
ABAETÉ;Vereador;55555;VANDELIO JOSE RIBEIRO;VAVÁ RIBEIRO;PSD;Eleito;2024;414;13469
ABAETÉ;Vereador;30000;VERALUCIA PEREIRA GALDINO;DRA VERALÚCIA GALDINO;NOVO;Eleito;2024;409;13469
ABAETÉ;Vereador;45240;JÉSSICA APARECIDA CUNHA MORAIS;JÉSSICA VETERINÁRIA;PSDB;Eleito;2024;376;13469
ABRE CAMPO;Vereador;45045;RAIMUNDO CELIO DE PAIVA;CELINHO DE PAIVA;PSDB;Eleito;2024;939;9388
ABRE CAMPO;Vereador;11123;JORGE LUIZ CORREA ROSA;TODÃO;PP;Eleito;2024;917;9388
ABRE CAMPO;Vereador;45678;RICARDO ANDRADE DE OLIVEIRA;RICARDO DOS MENDES;PSDB;Eleito;2024;600;9388
ABRE CAMPO;Vereador;45500;JOAQUIM ANTONIO SETIMO;JOAQUIM DO SETIMO;PSDB;Eleito;2024;560;9388
ABRE CAMPO;Vereador;12456;EDSON PAULA MIRANDA;EDSON DO POUSO ALTO;PDT;Eleito;2024;510;9388
ABRE CAMPO;Vereador;10123;LEONEL SANTANA FILHO;DIM DE LEONEL;REPUBLICANOS;Eleito;2024;493;9388
ABRE CAMPO;Vereador;45196;WANDERSON ADAO DIAS;WANDERSON ENFERMEIRO;PSDB;Eleito;2024;478;9388
ABRE CAMPO;Vereador;12789;GERALDO DAS GRAÇAS MEIRA;GERALDINHO MARIANO;PDT;Eleito;2024;385;9388
ABRE CAMPO;Vereador;11611;CESAR NETTO ROSA;CESAR PATRÍCIO;PP;Eleito;2024;331;9388
ACAIACA;Vereador;11000;MAX SANTOS MEIRELES;MAX JUNIOR;PP;Eleito;2024;146;3111
ACAIACA;Vereador;10000;ELISEYEV TEIXEIRA DE CARVALHO;ZEIVIM;REPUBLICANOS;Eleito;2024;139;3111
ACAIACA;Vereador;13000;JOÃO PAULO ARAÚJO;JOÃO PAULO ARAÚJO ;PT;Eleito;2024;128;3111
ACAIACA;Vereador;44600;MARIA TEREZA DA SILVA MACHADO;TEKINHA DA SAÚDE;UNIÃO;Eleito;2024;114;3111
ACAIACA;Vereador;15123;RAQUEL VIEIRA FERREIRA;RAQUEL DE VAVÁ;MDB;Eleito;2024;107;3111
ACAIACA;Vereador;13609;VALTER JOSÉ FERREIRA DOS SANTOS FILHO;TIM DE VALTER ;PT;Eleito;2024;97;3111
ACAIACA;Vereador;44222;TIAGO HENRIQUE DA COSTA;TIAGO DE KAKÁ;UNIÃO;Eleito;2024;95;3111
ACAIACA;Vereador;11123;RENATA ANGELA DE SOUZA;RENATA;PP;Eleito;2024;89;3111
ACAIACA;Vereador;10555;JULIANA RITA MARTINS;JULIANA CARAPINA ENFERMEIRA ;REPUBLICANOS;Eleito;2024;86;3111
AGUANIL;Vereador;55123;JOÃO PAULO NEVES;JOÃO PAULO NEVES;PSD;Eleito;2024;305;3599
AGUANIL;Vereador;11123;LUIZ HENRIQUE SOUZA;BUIÚ;PP;Eleito;2024;290;3599
AGUANIL;Vereador;55555;NEY EDUARDO ALVES COSTA;NEY EDUARDO;PSD;Eleito;2024;225;3599
AGUANIL;Vereador;11345;NATAN ANTONIO PINHEIRO;NATAN DO POSTO;PP;Eleito;2024;211;3599
AGUANIL;Vereador;11789;JOSÉ REGINALDO BAIA;REGINALDO BAIA;PP;Eleito;2024;197;3599
AGUANIL;Vereador;45333;GIBSON CARDOSO PINHEIRO;BIÇÃO;PSDB;Eleito;2024;194;3599
AGUANIL;Vereador;11111;WILLIAM APARECIDO SILVEIRA;WILLIAM PROFESSOR;PP;Eleito;2024;193;3599
AGUANIL;Vereador;55789;ALLINY CAMPOS DE PAULA COELHO;ALLINY CAMPOS;PSD;Eleito;2024;169;3599
AGUANIL;Vereador;18369;ANAEL SALOMÃO ALVARENGA;ANAEL (NAEL);REDE;Eleito;2024;130;3599
AIMORÉS;Vereador;22333;ANALDO GOMES DA SILVA;ANALDO GOMES;PL;Eleito;2024;664;14138
AIMORÉS;Vereador;15222;GUSTAVO CALVAO CASER;GUSTAVO CALVAO;MDB;Eleito;2024;612;14138
AIMORÉS;Vereador;10111;ELIAS PARENTE;LILI PARENTE;REPUBLICANOS;Eleito;2024;583;14138
AIMORÉS;Vereador;22777;WAGNER FERREIRA DE OLIVEIRA KNOBLAUCH;BOB;PL;Eleito;2024;576;14138
AIMORÉS;Vereador;70577;MILTON SANTOS SIRES DE OLIVEIRA;MILTON DO SINDICATO;AVANTE;Eleito;2024;573;14138
AIMORÉS;Vereador;45000;LUCIANO AFONSO CEZAR;LUCIANO BATISTA;PSDB;Eleito;2024;529;14138
AIMORÉS;Vereador;22222;ALVARO MIGUEL DE SOUZA;MIGUEL RASGUETE;PL;Eleito;2024;514;14138
AIMORÉS;Vereador;15173;ADALTON MARQUES TEIXEIRA;ADALTON MARQUES;MDB;Eleito;2024;332;14138
AIMORÉS;Vereador;35111;ALESSANDRO DO NASCIMENTO PINTO;ALESSANDRO ROSQUINHA;PMB;Eleito;2024;317;14138
AIMORÉS;Vereador;45123;JORGE LUIZ SILVA;JORGINHO DA SAÚDE;PSDB;Eleito;2024;316;14138
AIMORÉS;Vereador;35555;GENYLDA FERREIRA SALOMAO;GENYLDA SALOMAO;PMB;Eleito;2024;296;14138
AIURUOCA;Vereador;11123;ROSILDO BERNARDO DA ROCHA;ROSILDO ROCHA;PP;Eleito;2024;225;3696
AIURUOCA;Vereador;13333;JUVENAL DE FARIA;JUVENAL;PT;Eleito;2024;170;3696
AIURUOCA;Vereador;55333;ADRIANA NOGUEIRA DA ROCHA CORREA;ADRIANA DO CHICÃO;PSD;Eleito;2024;165;3696
AIURUOCA;Vereador;13000;JONAS MENDES DE SIQUEIRA;JONAS MENDES;PT;Eleito;2024;163;3696
AIURUOCA;Vereador;15112;MAURO DOS SANTOS;MAURO DOS SANTOS;MDB;Eleito;2024;162;3696
AIURUOCA;Vereador;55123;RODRIGO FELIPE DE SOUZA;RODRIGO DO CHICO;PSD;Eleito;2024;134;3696
AIURUOCA;Vereador;22000;ROMEU ROSA MACIEL;ROMEU ROSA;PL;Eleito;2024;124;3696
AIURUOCA;Vereador;22333;ALARCON ANTONIO DELFIM;ALARCON;PL;Eleito;2024;117;3696
AIURUOCA;Vereador;55678;MARINEIDE SIQUEIRA ARNAUT;MARI DA ELECEL;PSD;Eleito;2024;112;3696
ALAGOA;Vereador;45678;PAULO CÉSAR DE ANDRADE;PAULINHO;PSDB;Eleito;2024;252;2416
ALAGOA;Vereador;45550;JOSÉ ALBERTO ALVES;ROBERTO DO ZÉ JUCA;PSDB;Eleito;2024;160;2416
ALAGOA;Vereador;45111;AGNALDO BATISTA FONSECA;AGNALDO;PSDB;Eleito;2024;143;2416
ALAGOA;Vereador;45555;EDSON DE OLIVEIRA DINIZ;EDINHO DO ZÉ COSTA;PSDB;Eleito;2024;140;2416
ALAGOA;Vereador;43555;CLEISSON MARTINS FERREIRA;TATU DO RUBENS;PV;Eleito;2024;134;2416
ALAGOA;Vereador;45789;MAURISA APARECIDA MENDES DE BARROS;MAURISA;PSDB;Eleito;2024;127;2416
ALAGOA;Vereador;43111;JAYME JOSÉ MENDES;JAIMINHO DO JOÃO PIU;PV;Eleito;2024;121;2416
ALAGOA;Vereador;43567;MARCELO MONTEIRO PINTO;MARCELO DO AÇOUGUE;PV;Eleito;2024;118;2416
ALAGOA;Vereador;11111;DEUSDETE CAETANO DA SILVA;DELZINHO;PP;Eleito;2024;114;2416
ALBERTINA;Vereador;20000;IVAN MARQUES CARMO;IVAN CARMO;PODE;Eleito;2024;261;3118
ALBERTINA;Vereador;20999;WALDIR APARECIDO DE LIMA;WALDIR DE LIMA;PODE;Eleito;2024;183;3118
ALBERTINA;Vereador;45123;ODAIR JOSÉ FURLANETO;ODAIR FURLANETO;PSDB;Eleito;2024;177;3118
ALBERTINA;Vereador;45800;ROSE MÁRCIA DE CÁSSIA RINCO CAMPANHARI;ROSE MÁRCIA RINCO;PSDB;Eleito;2024;168;3118
ALBERTINA;Vereador;45000;ELVIRA CACCO CALAUTO;ELVIRA ENFERMEIRA;PSDB;Eleito;2024;153;3118
ALBERTINA;Vereador;33222;TARCIZO LUIZ;TARCIZO DO GETULIO;MOBILIZA;Eleito;2024;130;3118
ALBERTINA;Vereador;25000;CARLOS ALBERTO MONTEIRO;CARLÃO;PRD;Eleito;2024;128;3118
ALBERTINA;Vereador;10000;LEANDRO LUIZ;LEANDRO DO DITO ROSA;REPUBLICANOS;Eleito;2024;124;3118
ALBERTINA;Vereador;10111;BENEDITA GARCIA RAFAEL;DITA CABELEIREIRA;REPUBLICANOS;Eleito;2024;121;3118
ALFENAS;Vereador;44762;PEDRO ALENCAR AZEVEDO;PEDRINHO MINASACONTECE;UNIÃO;Eleito;2024;1863;42412
ALFENAS;Vereador;10456;BRAZ FERNANDO DA SILVA;BRAZ DA MAQUINA;REPUBLICANOS;Eleito;2024;1149;42412
ALFENAS;Vereador;11000;EVANILSON PEREIRA DE ANDRADE;RATINHO;PP;Eleito;2024;1075;42412
ALFENAS;Vereador;12456;MATHEUS PACCINI PEREIRA;MATHEUS PACCINI;PDT;Eleito;2024;1010;42412
ALFENAS;Vereador;27122;JEFFERSON DOS REIS PADILHA GONÇALVES;JEFFERSON GUIGUI;DC;Eleito;2024;840;42412
ALFENAS;Vereador;13122;RODOLFO INACIO DA FREIRIA;RODOLFO INACIO;PT;Eleito;2024;729;42412
ALFENAS;Vereador;22123;GILMAR COSTA DA SILVA;GILMAR COSTA;PL;Eleito;2024;663;42412
ALFENAS;Vereador;45000;THALLES SILVA GOMES;THALLES GOMES;PSDB;Eleito;2024;636;42412
ALFENAS;Vereador;35500;CIRLEI JOSE DE CARVALHO;CIRLEI;PMB;Eleito;2024;631;42412
ALFENAS;Vereador;22223;MARIA IDALINA DA SILVA;IDALINA DO SANTA RITA;PL;Eleito;2024;629;42412
ALFENAS;Vereador;13000;JOSE BATISTA NETO;ZE BATISTA;PT;Eleito;2024;582;42412
ALFENAS;Vereador;30300;EDNILSON FRANCISCO NETO;EDNILSON;NOVO;Eleito;2024;553;42412
ALFREDO VASCONCELOS;Vereador;23333;JAIRO LUIZ DE OLIVEIRA;JAIRO DO RANDOLFO;CIDADANIA;Eleito;2024;397;4928
ALFREDO VASCONCELOS;Vereador;11123;EDEVALDO SÓCRATES DA SILVA;EDEVALDO DO POUSO ALEGRE ;PP;Eleito;2024;313;4928
ALFREDO VASCONCELOS;Vereador;11234;AMARIS AURÉLIO FERREIRA;AMARIS ;PP;Eleito;2024;298;4928
ALFREDO VASCONCELOS;Vereador;77555;BEATRIZ APARECIDA DA SILVA;BEATRIZ;SOLIDARIEDADE;Eleito;2024;221;4928
ALFREDO VASCONCELOS;Vereador;55555;IGOR HENRIQUE DE SOUZA;IGOR SOUZA;PSD;Eleito;2024;213;4928
ALFREDO VASCONCELOS;Vereador;11000;RENATO BIANCHETTI AZEVEDO;DUDU DO CARTÓRIO ;PP;Eleito;2024;204;4928
ALFREDO VASCONCELOS;Vereador;70123;BRUNO GIOVANE DA SILVA;BRUNO BG ;AVANTE;Eleito;2024;199;4928
ALFREDO VASCONCELOS;Vereador;55777;FÁBIO JOSÉ GARCIA;FABINHO DO TANQUE;PSD;Eleito;2024;174;4928
ALFREDO VASCONCELOS;Vereador;15123;MARCIO CLAUDIO DA SILVA;MARCINHO DA TOCA DO LOBO;MDB;Eleito;2024;155;4928
ALMENARA;Vereador;55123;MARCOS VINICIUS FONSECA PRATES;TÔCO;PSD;Eleito;2024;1855;21953
ALMENARA;Vereador;55777;NATANAEL DIAS DE SOUSA;NATA CDN;PSD;Eleito;2024;1089;21953
ALMENARA;Vereador;55222;MARCONI PEREIRA FLORES;MARCONI DA SAÚDE;PSD;Eleito;2024;1079;21953
ALMENARA;Vereador;10555;JOSIVALDO MIGUEL DA SILVA;JOSIVALDO MANTEGÃO;REPUBLICANOS;Eleito;2024;956;21953
ALMENARA;Vereador;40000;AILTON FERREIRA DE OLIVEIRA;TIM DO SAO FRANCISCO;PSB;Eleito;2024;835;21953
ALMENARA;Vereador;10222;CLEITON MARCIO JOSE DOS SANTOS;DEY PROFESSOR;REPUBLICANOS;Eleito;2024;793;21953
ALMENARA;Vereador;10000;MARCOS VIRGILIO FONSECA;MESTRE BIDULA;REPUBLICANOS;Eleito;2024;671;21953
ALMENARA;Vereador;55111;DELCIMAR DE OLIVEIRA SILVA;DEDÉU DO BAR;PSD;Eleito;2024;661;21953
ALMENARA;Vereador;55333;MARCONE SILVA PEREIRA;MARCONE DA AMBULÂNCIA;PSD;Eleito;2024;659;21953
ALMENARA;Vereador;55678;EXUPÉRIO FERREIRA PIRES;PECA;PSD;Eleito;2024;540;21953
ALMENARA;Vereador;13333;RENATO MOREIRA DA CRUZ;RENATO DO SOM;PT;Eleito;2024;439;21953
ALMENARA;Vereador;45678;GERCIRA GOMES CARDOSO;CIRA CARDOSO;PSDB;Eleito;2024;379;21953
ALMENARA;Vereador;77888;ANILTON MONTEIRO SILVA;NILTIN DA AUTOESCOLA;SOLIDARIEDADE;Eleito;2024;319;21953
ALPERCATA;Vereador;10000;FIORIVALDO NATAL PITOL;FLOR DE ERA NOVA;REPUBLICANOS;Eleito;2024;362;4797
ALPERCATA;Vereador;44000;MARCOS ALMEIDA DE SOUZA;MARCOS LELECO;UNIÃO;Eleito;2024;350;4797
ALPERCATA;Vereador;55250;ADIR CARDEIRA FARIA;TETECO;PSD;Eleito;2024;247;4797
ALPERCATA;Vereador;15000;JOSE ELIAS SIQUEIRA MONTIMOR;ZÉ ELIAS;MDB;Eleito;2024;235;4797
ALPERCATA;Vereador;55222;MARLUCIO GONÇALVES DE OLIVEIRA;LALÁ DA VILA ;PSD;Eleito;2024;229;4797
ALPERCATA;Vereador;44555;JEFERSON CORREIA DE FARIA;JEFINHO DE ERA NOVA;UNIÃO;Eleito;2024;201;4797
ALPERCATA;Vereador;55000;MARCIONIL RODRIGUES DA SILVA;NIL DA VILA;PSD;Eleito;2024;200;4797
ALPERCATA;Vereador;10555;EDUARDO CONTIM BASTOS;DUDU CONTIM;REPUBLICANOS;Eleito;2024;158;4797
ALPERCATA;Vereador;70234;HELIO MATIAS DOS REIS;HELIO MATIAS;AVANTE;Eleito;2024;149;4797
ALPINÓPOLIS;Vereador;40111;SANDRA APARECIDA DE CARVALHO NASCIMENTO;SANDRA DO NEQUINHA;PSB;Eleito;2024;873;12154
ALPINÓPOLIS;Vereador;40000;PEDRO HENRIQUE DOS SANTOS MORAIS;PEDRO MORAIS;PSB;Eleito;2024;533;12154
ALPINÓPOLIS;Vereador;15123;ELAINE CRISTINA DOS SANTOS ESTEVES;ELAINE DO PELÉ;MDB;Eleito;2024;475;12154
ALPINÓPOLIS;Vereador;40100;ANDRE LEONEL DE SOUZA VILELA;ANDRÉ LEONEL;PSB;Eleito;2024;454;12154
ALPINÓPOLIS;Vereador;15222;KAIQUE ALVES CASSIANO;KAIQUE ALVES;MDB;Eleito;2024;438;12154
ALPINÓPOLIS;Vereador;11123;WAGNER LUIZ DE OLIVEIRA;WAGUINHO DA CECÍLIA;PP;Eleito;2024;412;12154
ALPINÓPOLIS;Vereador;15555;SUZANA DE ÁVILA REIS VILELA;SUZANA;MDB;Eleito;2024;411;12154
ALPINÓPOLIS;Vereador;11111;EDSON FERREIRA DA SILVA;EDINHO DA PRATA;PP;Eleito;2024;342;12154
ALPINÓPOLIS;Vereador;11220;SEBASTIÃO RIBEIRO NETO;TIÃO NETO;PP;Eleito;2024;324;12154
ALTEROSA;Vereador;77777;RAFAEL AUGUSTO GOMES;RAFAEL ALEMÃO;SOLIDARIEDADE;Eleito;2024;946;9580
ALTEROSA;Vereador;15150;DOMILSON DOS REIS COELHO;DOMILSON COELHO;MDB;Eleito;2024;819;9580
ALTEROSA;Vereador;70789;ABIMAEL MOREIRA PINTO;ABIMAEL BIMA;AVANTE;Eleito;2024;735;9580
ALTEROSA;Vereador;55555;RENATO DOS REIS MARTINS;RENATO DA SAÚDE;PSD;Eleito;2024;692;9580
ALTEROSA;Vereador;44606;GUSTAVO GAIANE SILVA;GUSTAVO GAIANE;UNIÃO;Eleito;2024;522;9580
ALTEROSA;Vereador;44690;JOAQUIM AUGUSTO FERREIRA;JOAQUIM CARRETE;UNIÃO;Eleito;2024;514;9580
ALTEROSA;Vereador;55632;EDSON JOÃO BATISTA;EDSON CAREQUINHA;PSD;Eleito;2024;504;9580
ALTEROSA;Vereador;70600;JOSÉ ELIAS DOS SANTOS;IRMÃO ZÉ;AVANTE;Eleito;2024;403;9580
ALTEROSA;Vereador;15555;NILSON RIBEIRO DA SILVA JÚNIOR;NILSINHO PIO;MDB;Eleito;2024;289;9580
ALTO CAPARAÓ;Vereador;45444;JOSE CARLOS LOVATINO;LOVANTINO;PSDB;Eleito;2024;321;3785
ALTO CAPARAÓ;Vereador;22450;RODRIGO FRANCA PEIXOTO;RODRIGO PEIXOTO;PL;Eleito;2024;303;3785
ALTO CAPARAÓ;Vereador;45600;ALCINEIA PINHEIRO CEZAR;ALCINEIA PINHEIRO CEZAR;PSDB;Eleito;2024;292;3785
ALTO CAPARAÓ;Vereador;45620;JORGE JOSE DA SILVA;JORGINHO DO POVO;PSDB;Eleito;2024;289;3785
ALTO CAPARAÓ;Vereador;44222;OSMAR LUCIO DE SOUZA;LUCIO MOTORISTA;UNIÃO;Eleito;2024;287;3785
ALTO CAPARAÓ;Vereador;15271;RICARDO FIGUEIREDO EMERICH;RICARDO FIGUEIREDO ;MDB;Eleito;2024;271;3785
ALTO CAPARAÓ;Vereador;12345;ANTONIO VALÉRIO DE OLIVEIRA NETO;TONIM OLIVEIRA;PDT;Eleito;2024;246;3785
ALTO CAPARAÓ;Vereador;15555;ISAIAS CUSTODIO GOMES;IZAIAS CUSTODIO GOMES;MDB;Eleito;2024;125;3785
ALTO CAPARAÓ;Vereador;22222;MARLON AMORIM PINTO;MARLON AMORIM;PL;Eleito;2024;120;3785
ALTO JEQUITIBÁ;Vereador;30350;ALCIONE DE AZEVEDO MARTINS;ALCIONE DE AZEVEDO MARTINS;NOVO;Eleito;2024;661;5679
ALTO JEQUITIBÁ;Vereador;15666;JOSÉ AMÉRICO TASMO BASTOS;ZÉ AMÉRICO;MDB;Eleito;2024;271;5679
ALTO JEQUITIBÁ;Vereador;55000;ELIEZER ALVES BRAGANÇA;ELIEZER BRAGANÇA;PSD;Eleito;2024;256;5679
ALTO JEQUITIBÁ;Vereador;10123;CÉSAR CARDOSO FONSECA;CÉSAR FONSECA;REPUBLICANOS;Eleito;2024;229;5679
ALTO JEQUITIBÁ;Vereador;15111;NIVALDO MOTTA FERNANDES;NIVALDO DO PICOLÉ;MDB;Eleito;2024;212;5679
ALTO JEQUITIBÁ;Vereador;25025;LILIAN TAVARES WERNER;LILIAN TAVARES;PRD;Eleito;2024;211;5679
ALTO JEQUITIBÁ;Vereador;22123;ALEXSANDRO DE SOUZA;SANDRO COWBOY;PL;Eleito;2024;203;5679
ALTO JEQUITIBÁ;Vereador;30000;VERÔNICA CORREA;VERÔNICA GARI;NOVO;Eleito;2024;166;5679
ALTO JEQUITIBÁ;Vereador;10111;MALUCE CELESTINO LEITE WERNER;MARLUCE CELESTINO;REPUBLICANOS;Eleito;2024;164;5679
ALTO RIO DOCE;Vereador;15000;GILZÉLIO MARCOS DE PAIVA;GIL DE PAIVA;MDB;Eleito;2024;507;7716
ALTO RIO DOCE;Vereador;15606;VALDOMIRO DOMINGOS DIAS;VALMIR;MDB;Eleito;2024;492;7716
ALTO RIO DOCE;Vereador;43000;ARI SANT ANA DE CARVALHO;ARI SANTANA;PV;Eleito;2024;442;7716
ALTO RIO DOCE;Vereador;18000;DARCIO VALERIO VIEIRA;DARCIO VIEIRA;REDE;Eleito;2024;419;7716
ALTO RIO DOCE;Vereador;55580;JOSÉ DE PAIVA OLIVEIRA;ZEZÉ DO LUIZ SANTO;PSD;Eleito;2024;287;7716
ALTO RIO DOCE;Vereador;11666;JOSÉ ALFREDO DA SILVA;JOSÉ ALFREDO;PP;Eleito;2024;287;7716
ALTO RIO DOCE;Vereador;13100;ARCENDINO GERALDO DO NASCIMENTO;DININHO DE VITÓRINOS;PT;Eleito;2024;285;7716
ALTO RIO DOCE;Vereador;10111;MAGNUS FERREIRA DA SILVA PINTO JUNIOR;MAGUININHO DO BARRACA;REPUBLICANOS;Eleito;2024;271;7716
ALTO RIO DOCE;Vereador;23333;ADRIANO DE OLIVEIRA;ADRIANINHO;CIDADANIA;Eleito;2024;206;7716
ALVARENGA;Vereador;43123;GILMAR SANTOS DE OLIVEIRA;GILMAR GANSO;PV;Eleito;2024;426;3978
ALVARENGA;Vereador;13123;PAULO CESAR SOARES DIAS;PAULO CESAR PC;PT;Eleito;2024;373;3978
ALVARENGA;Vereador;43789;GLEYDSON DA SILVA NEVES;GLEYDSON NEVES;PV;Eleito;2024;334;3978
ALVARENGA;Vereador;30123;LAUDEMAR GONCALVES DE SOUZA;DEMAR DO VISTA ALEGRE;NOVO;Eleito;2024;292;3978
ALVARENGA;Vereador;43456;GUILHERMINO BATISTA DE MAGALHÃES;GUILHERMINO MAGALHÃES;PV;Eleito;2024;286;3978
ALVARENGA;Vereador;30234;JOAO AUGUSTO VIANA;ZIM MENDES;NOVO;Eleito;2024;255;3978
ALVARENGA;Vereador;15123;JOSÉ LUIZ VIANA;LUIZINHO ROSENO;MDB;Eleito;2024;244;3978
ALVARENGA;Vereador;55123;KAUAN SOUZA RODRIGUES;KAUAN DO AÇAÍ;PSD;Eleito;2024;222;3978
ALVARENGA;Vereador;15678;GIRLEY NEVES DE OLIVEIRA;GIRLEY DO ZUZA;MDB;Eleito;2024;177;3978
ALVINÓPOLIS;Vereador;77777;LEANDRO DOS SANTOS CASSIMIRO;LEANDRO CASSIMIRO;SOLIDARIEDADE;Eleito;2024;556;10095
ALVINÓPOLIS;Vereador;11111;SAMUEL VINICIUS VIEIRA;SAMUEL BICOCO;PP;Eleito;2024;553;10095
ALVINÓPOLIS;Vereador;10500;JOSE AGOSTINHO PONTES;BIDÃO ;REPUBLICANOS;Eleito;2024;431;10095
ALVINÓPOLIS;Vereador;25123;IVAN SILVIO DAS GRAÇAS;IVAN DO SERTÃO;PRD;Eleito;2024;417;10095
ALVINÓPOLIS;Vereador;55555;ALEX GERALDO FIGUEIREDO;ALEX DA SAÚDE ;PSD;Eleito;2024;410;10095
ALVINÓPOLIS;Vereador;23456;JOEL COURA DE BARCELOS;JOEL COURA;CIDADANIA;Eleito;2024;377;10095
ALVINÓPOLIS;Vereador;15333;EDMIR RAFAEL PERDIGÃO;TOCO DA TOCA DO LOBO;MDB;Eleito;2024;327;10095
ALVINÓPOLIS;Vereador;36000;AENDER SEBASTIÃO DA SILVA;AENDER DA MÁQUINA;AGIR;Eleito;2024;313;10095
ALVINÓPOLIS;Vereador;20632;LEANDRO GERALDO LINHARES COTA;LEANDRO DE LEDES;PODE;Eleito;2024;252;10095
ALVINÓPOLIS;Vereador;15500;ANA LUCIA DE ARAUJO MACHADO;ANA LUCIA DE MAUROSAN;MDB;Eleito;2024;250;10095
ALVINÓPOLIS;Vereador;13013;LUCIMAR ARAUJO COTA CABRAL;PROFESSORA LUCIMAR;PT;Eleito;2024;168;10095
ALVORADA DE MINAS;Vereador;22789;RENILSON APARECIDO DE MIRANDA;RENILSON;PL;Eleito;2024;350;3936
ALVORADA DE MINAS;Vereador;22777;EDIVÂNIA APARECIDA BRAZ SIMOES;EDIVÂNIA;PL;Eleito;2024;328;3936
ALVORADA DE MINAS;Vereador;22333;CLEBER BOSCO PADILHA;CLEBER DO ESPORTE;PL;Eleito;2024;310;3936
ALVORADA DE MINAS;Vereador;22555;CRISTIANO JOSÉ  DE AGUIAR;CRISTIANO TIBURCIO;PL;Eleito;2024;218;3936
ALVORADA DE MINAS;Vereador;43333;IVAN DANIEL SIMÕES;IVAN DE ANIBAL;PV;Eleito;2024;209;3936
ALVORADA DE MINAS;Vereador;15123;RENATO JUNIOR DE OLIVEIRA;RENATINHO;MDB;Eleito;2024;189;3936
ALVORADA DE MINAS;Vereador;43444;FÁBIO JÚNIOR SIMÕES PIMENTA;FABINHO DE GUIDO;PV;Eleito;2024;170;3936
ALVORADA DE MINAS;Vereador;15789;JULIANO LUIZ DA SILVA;JULIANO FUMAÇA;MDB;Eleito;2024;148;3936
ALVORADA DE MINAS;Vereador;45555;JOAQUIM JOSÉ PEREIRA DO PORTO;QUINZINHO;PSDB;Eleito;2024;142;3936
ALÉM PARAÍBA;Vereador;44000;FERNANDO MONTES FERREIRA DA CRUZ;FERNANDO CRUZ;UNIÃO;Eleito;2024;802;20141
ALÉM PARAÍBA;Vereador;55789;SERGIO ROBERTO PAULINO DE JESUS;CRIOULO;PSD;Eleito;2024;761;20141
ALÉM PARAÍBA;Vereador;22000;WESLEY DIAS DE OLIVEIRA;PINDURA;PL;Eleito;2024;759;20141
ALÉM PARAÍBA;Vereador;11000;DAVID DA PAZ SILVEIRA TEIXEIRA;DAVID DA PAZ;PP;Eleito;2024;750;20141
ALÉM PARAÍBA;Vereador;11500;FABIO FILGUEIRAS NETO;FABIO NETO;PP;Eleito;2024;632;20141
ALÉM PARAÍBA;Vereador;55123;PAULO HENRIQUE DA SILVA OLIVEIRA;PASTOR PAULINHO;PSD;Eleito;2024;620;20141
